CMDLINE othello -g
MEM 881.402344 1775762421.8597
MEM 881.402344 1775762421.9616
MEM 881.402344 1775762422.0633
MEM 881.402344 1775762422.1651
MEM 881.402344 1775762422.2674
MEM 881.402344 1775762422.3689
MEM 881.402344 1775762422.4710
MEM 881.402344 1775762422.5732
MEM 881.402344 1775762422.6749
MEM 881.402344 1775762422.7765
MEM 881.402344 1775762422.8780
MEM 881.402344 1775762422.9797
MEM 881.402344 1775762423.0813
MEM 881.402344 1775762423.1830
MEM 881.402344 1775762423.2848
MEM 881.531250 1775762423.3867
MEM 881.402344 1775762423.4885
MEM 881.468750 1775762423.5900
MEM 881.468750 1775762423.6918
MEM 881.535156 1775762423.7939
MEM 887.523438 1775762423.8956
MEM 883.523438 1775762423.9974
MEM 881.523438 1775762424.0990
MEM 878.527344 1775762424.2009
MEM 882.898438 1775762424.3027
MEM 881.675781 1775762424.4048
MEM 881.902344 1775762424.5064
MEM 879.710938 1775762424.6083
MEM 886.339844 1775762424.7102
MEM 884.855469 1775762424.8138
MEM 882.339844 1775762424.9155
MEM 880.375000 1775762425.0172
MEM 880.539062 1775762425.1188
MEM 882.554688 1775762425.2217
MEM 880.554688 1775762425.3235
MEM 880.941406 1775762425.4254
MEM 880.554688 1775762425.5270
MEM 886.539062 1775762425.6288
MEM 884.539062 1775762425.7314
MEM 880.703125 1775762425.8332
MEM 880.703125 1775762425.9350
MEM 884.718750 1775762426.0368
MEM 880.027344 1775762426.1385
MEM 879.007812 1775762426.2402
MEM 879.132812 1775762426.3420
MEM 880.750000 1775762426.4437
MEM 881.351562 1775762426.5455
MEM 882.191406 1775762426.6473
MEM 882.433594 1775762426.7493
MEM 884.515625 1775762426.8511
MEM 886.449219 1775762426.9529
MEM 882.449219 1775762427.0548
MEM 882.570312 1775762427.1565
MEM 888.593750 1775762427.2583
MEM 886.593750 1775762427.3602
MEM 885.042969 1775762427.4620
MEM 882.593750 1775762427.5637
MEM 882.593750 1775762427.6654
MEM 886.867188 1775762427.7673
MEM 884.855469 1775762427.8698
MEM 882.890625 1775762427.9716
MEM 885.898438 1775762428.0738
MEM 882.441406 1775762428.1756
MEM 881.351562 1775762428.2774
MEM 881.390625 1775762428.3791
MEM 885.472656 1775762428.4809
MEM 884.109375 1775762428.5836
MEM 882.617188 1775762428.6853
MEM 882.679688 1775762428.7871
MEM 882.558594 1775762428.8889
MEM 882.558594 1775762428.9904
MEM 882.558594 1775762429.0921
MEM 882.558594 1775762429.1939
MEM 882.558594 1775762429.2956
MEM 882.558594 1775762429.3974
MEM 882.558594 1775762429.4990
MEM 882.558594 1775762429.6008
MEM 882.558594 1775762429.7029
MEM 882.558594 1775762429.8049
MEM 882.558594 1775762429.9066
MEM 882.558594 1775762430.0081
MEM 882.558594 1775762430.1096
MEM 882.558594 1775762430.2114
MEM 882.558594 1775762430.3136
MEM 882.558594 1775762430.4153
MEM 882.558594 1775762430.5170
MEM 882.558594 1775762430.6185
MEM 882.558594 1775762430.7203
MEM 882.558594 1775762430.8221
MEM 882.558594 1775762430.9238
MEM 882.558594 1775762431.0255
MEM 882.558594 1775762431.1273
MEM 882.558594 1775762431.2293
MEM 882.558594 1775762431.3309
MEM 882.558594 1775762431.4328
MEM 882.558594 1775762431.5347
MEM 882.558594 1775762431.6364
MEM 882.558594 1775762431.7379
MEM 882.558594 1775762431.8395
MEM 882.558594 1775762431.9411
MEM 882.558594 1775762432.0426
MEM 882.558594 1775762432.1444
MEM 882.558594 1775762432.2462
MEM 882.558594 1775762432.3479
MEM 882.558594 1775762432.4495
MEM 883.589844 1775762432.5512
MEM 882.558594 1775762432.6530
MEM 882.558594 1775762432.7548
MEM 882.859375 1775762432.8565
MEM 886.875000 1775762432.9583
MEM 884.875000 1775762433.0604
MEM 884.878906 1775762433.1622
MEM 882.996094 1775762433.2639
MEM 889.011719 1775762433.3657
MEM 888.363281 1775762433.4677
MEM 883.011719 1775762433.5695
MEM 883.015625 1775762433.6712
MEM 885.546875 1775762433.7730
MEM 894.019531 1775762433.8748
MEM 890.804688 1775762433.9765
MEM 879.800781 1775762434.0780
MEM 883.386719 1775762434.1800
MEM 881.414062 1775762434.2816
MEM 881.453125 1775762434.3835
MEM 881.488281 1775762434.4856
MEM 888.464844 1775762434.5873
MEM 882.464844 1775762434.6889
MEM 882.500000 1775762434.7905
MEM 890.402344 1775762434.8923
MEM 884.988281 1775762434.9946
MEM 882.988281 1775762435.0964
MEM 887.523438 1775762435.1981
MEM 885.007812 1775762435.2998
MEM 885.125000 1775762435.4015
MEM 883.160156 1775762435.5034
MEM 889.144531 1775762435.6052
MEM 885.144531 1775762435.7070
MEM 883.144531 1775762435.8087
MEM 886.535156 1775762435.9105
MEM 887.179688 1775762436.0124
MEM 882.121094 1775762436.1141
MEM 881.972656 1775762436.2159
MEM 885.960938 1775762436.3176
MEM 888.929688 1775762436.4193
MEM 882.929688 1775762436.5210
MEM 882.933594 1775762436.6231
MEM 886.558594 1775762436.7248
MEM 885.074219 1775762436.8269
MEM 883.105469 1775762436.9288
MEM 883.105469 1775762437.0308
MEM 889.585938 1775762437.1329
